epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,675.97,1.20452,0.67388,0.59952,0.2058,0.37452,0.19927,0.07338,0.70458,1.02833,0.34646,0.000166533,0.000166533,0.0668599
2,1320.3,0.74594,0.84155,0.31113,0.38765,0.44435,0.3534,0.1421,0.64096,0.93883,0.33184,0.000322204,0.000322204,0.0336822
3,1965.2,0.59917,0.88504,0.2563,0.46049,0.52212,0.46822,0.26003,0.52064,0.87454,0.27303,0.000466875,0.000466875,0.000493542
4,2608.37,0.53481,0.86163,0.23107,0.48628,0.55,0.48576,0.28347,0.51903,0.81923,0.27322,0.0004505,0.0004505,0.0004505
5,3250.11,0.53502,0.77909,0.2371,0.78173,0.75721,0.75862,0.4244,0.55591,0.62519,0.33276,0.000434,0.000434,0.000434
6,3892.23,0.55061,0.70952,0.24995,0.78493,0.71236,0.7549,0.41223,nan,nan,nan,0.0004175,0.0004175,0.0004175
7,4532.43,0.54226,0.71141,0.25368,0.81362,0.70625,0.74931,0.42148,0.53622,0.66503,0.3018,0.000401,0.000401,0.000401
8,5173.29,0.55356,0.6719,0.25657,0.78407,0.73321,0.7538,0.42934,0.55121,0.62971,0.32193,0.0003845,0.0003845,0.0003845
9,5814.48,0.52457,0.66429,0.23935,0.7879,0.71683,0.75677,0.42521,0.54202,0.66764,0.30248,0.000368,0.000368,0.000368
10,6457.14,0.52491,0.69576,0.23606,0.82194,0.72404,0.76997,0.44634,0.53736,0.62879,0.31634,0.0003515,0.0003515,0.0003515
11,7098.93,0.51892,0.6612,0.23465,0.81581,0.74316,0.77629,0.45433,0.54788,0.59249,0.32207,0.000335,0.000335,0.000335
12,7741.18,0.51579,0.6438,0.23384,0.81219,0.74904,0.78046,0.45561,0.55841,0.58088,0.34154,0.0003185,0.0003185,0.0003185
13,8383.04,0.51008,0.64207,0.23474,0.81432,0.76114,0.80231,0.46896,0.54902,0.58953,0.32662,0.000302,0.000302,0.000302
14,9028,0.50466,0.63343,0.23048,0.84623,0.71963,0.80522,0.47015,0.54212,0.58824,0.30938,0.0002855,0.0002855,0.0002855
15,9668.79,0.5089,0.61295,0.23089,0.83585,0.74856,0.8075,0.4728,0.54254,0.58452,0.32247,0.000269,0.000269,0.000269
16,10308.8,0.49634,0.62124,0.22416,0.83541,0.74231,0.80534,0.48166,0.52669,0.59454,0.30279,0.0002525,0.0002525,0.0002525
17,10947.3,0.49534,0.6003,0.22366,0.82709,0.75529,0.81207,0.48647,0.52756,0.56596,0.30603,0.000236,0.000236,0.000236
18,11586.3,0.49005,0.58869,0.22201,0.84594,0.76028,0.82243,0.48881,0.54313,0.56167,0.31944,0.0002195,0.0002195,0.0002195
19,12224.6,0.48802,0.59082,0.22238,0.82542,0.76374,0.8041,0.47494,0.55263,0.60509,0.32932,0.000203,0.000203,0.000203
20,12862.4,0.47812,0.59276,0.21612,0.87226,0.75509,0.82415,0.49515,0.54661,0.54963,0.33043,0.0001865,0.0001865,0.0001865
21,13499.7,0.45031,0.55126,0.22265,0.82322,0.77688,0.81296,0.4849,0.54184,0.54304,0.32845,0.00017,0.00017,0.00017
22,14136.1,0.44545,0.53246,0.21814,0.84012,0.77053,0.81926,0.49544,0.54087,0.54716,0.32976,0.0001535,0.0001535,0.0001535
23,14773.6,0.43906,0.5277,0.2173,0.8299,0.77408,0.81927,0.49434,0.54506,0.55442,0.32151,0.000137,0.000137,0.000137
24,15411.8,0.43233,0.5117,0.21384,0.83905,0.77948,0.81731,0.49391,0.54568,0.53693,0.32591,0.0001205,0.0001205,0.0001205
25,16048.1,0.43049,0.50645,0.21134,0.84238,0.77067,0.82405,0.49617,0.5416,0.55517,0.32199,0.000104,0.000104,0.000104
26,16685.4,0.42465,0.5002,0.20658,0.82283,0.79711,0.8286,0.5024,0.54512,0.53417,0.32516,8.75e-05,8.75e-05,8.75e-05
27,17321.4,0.41764,0.49884,0.20438,0.83325,0.79423,0.82111,0.49874,0.53654,0.5494,0.31276,7.1e-05,7.1e-05,7.1e-05
28,17957.8,0.41964,0.49765,0.20281,0.86458,0.76428,0.83367,0.51207,0.53652,0.53042,0.31714,5.45e-05,5.45e-05,5.45e-05
29,18593.4,0.41622,0.48783,0.20208,0.84406,0.78591,0.82209,0.50319,0.53276,0.53769,0.31368,3.8e-05,3.8e-05,3.8e-05
30,19230.8,0.41552,0.49082,0.20287,0.85049,0.78558,0.83531,0.50833,0.53959,0.5372,0.31695,2.15e-05,2.15e-05,2.15e-05
