epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,368.21,1.04575,1.0122,0.64799,0.5203,0.41143,0.41117,0.16733,0.80814,0.86642,0.5209,0.000664537,0.000664537,0.000664537
2,720.883,0.74279,0.70244,0.35638,0.5536,0.45673,0.46014,0.21203,0.69582,0.76277,0.42499,0.00131363,0.00131363,0.00131363
3,1071.4,0.73225,0.70746,0.34155,0.60683,0.49615,0.53035,0.23902,0.65415,0.7574,0.37957,0.00194513,0.00194513,0.00194513
4,1421.78,0.71732,0.70591,0.33147,0.60503,0.55382,0.56578,0.2603,0.63471,0.71916,0.37822,0.0019208,0.0019208,0.0019208
5,1772.02,0.69239,0.69626,0.3167,0.63175,0.54231,0.5905,0.27278,0.66478,0.66778,0.40941,0.0018944,0.0018944,0.0018944
6,2122.24,0.68693,0.70223,0.31415,0.62653,0.55913,0.60021,0.27103,0.63224,0.73254,0.37705,0.001868,0.001868,0.001868
7,2472.54,0.67233,0.68852,0.30617,0.69318,0.58462,0.63451,0.30324,0.62233,0.66975,0.37026,0.0018416,0.0018416,0.0018416
8,2822.7,0.66395,0.68509,0.30282,0.66064,0.57019,0.61793,0.28658,0.62881,0.73426,0.38114,0.0018152,0.0018152,0.0018152
9,3172.08,0.6679,0.66781,0.30602,0.71865,0.59183,0.66465,0.32363,0.59656,0.68726,0.35637,0.0017888,0.0017888,0.0017888
10,3521.39,0.65857,0.65193,0.29954,0.69051,0.57388,0.64267,0.31941,0.60551,0.67735,0.35448,0.0017624,0.0017624,0.0017624
11,3871.08,0.66363,0.67752,0.31022,0.67973,0.57933,0.64647,0.30926,0.61531,0.69216,0.37003,0.001736,0.001736,0.001736
12,4220.65,0.65109,0.67401,0.29852,0.67296,0.5875,0.64951,0.31501,0.61218,0.69138,0.36972,0.0017096,0.0017096,0.0017096
13,4902.3,0.64482,0.65094,0.2941,0.67238,0.58798,0.64953,0.31496,0.61233,0.69133,0.37011,0.0016832,0.0016832,0.0016832
14,5251.73,0.64646,0.65714,0.29105,0.73877,0.58269,0.68012,0.341,0.58467,0.6729,0.32961,0.0016568,0.0016568,0.0016568
15,5601.37,0.64088,0.65247,0.28809,0.71173,0.62674,0.67513,0.33755,0.58791,0.68205,0.33939,0.0016304,0.0016304,0.0016304
16,5950.95,0.6349,0.64316,0.28754,0.74497,0.6375,0.69445,0.34438,0.57992,0.6647,0.35412,0.001604,0.001604,0.001604
17,6301.08,0.62622,0.64012,0.28434,0.73992,0.61275,0.69958,0.34279,0.60278,0.6431,0.35487,0.0015776,0.0015776,0.0015776
